EEG C3-A1	EEG O1-A1	EEG C4-A1	EEG O2-A1
-5.56640625	-10.9375	3.61328125	-18.84765625
-7.71484375	-15.33203125	0.9765625	-19.7265625
-10.64453125	-19.82421875	-2.5390625	-20.01953125
-9.27734375	-17.48046875	-4.19921875	-15.234375
-7.91015625	-18.06640625	-3.61328125	-12.109375
-5.859375	-18.45703125	0.1953125	-8.984375
-3.125	-17.1875	4.296875	-5.56640625
-2.734375	-15.72265625	5.6640625	-3.125
-3.80859375	-13.96484375	6.0546875	-1.85546875
-3.61328125	-11.328125	4.4921875	-1.171875
-5.76171875	-8.88671875	2.5390625	-2.05078125
-5.6640625	-7.2265625	4.1015625	-2.05078125
-8.984375	-6.73828125	-0.5859375	-5.46875
-11.5234375	-5.859375	-1.5625	-7.12890625
-13.0859375	-2.9296875	-3.02734375	-5.76171875
-14.453125	-2.05078125	-4.6875	-5.95703125
-15.4296875	-2.44140625	-4.98046875	-7.12890625
-14.35546875	-0.390625	-2.9296875	-3.61328125
-13.8671875	-4.00390625	-5.2734375	-5.56640625
-10.15625	1.46484375	-2.63671875	0.29296875
-9.9609375	1.7578125	-3.61328125	3.02734375
-9.765625	5.2734375	-3.41796875	7.2265625
-7.71484375	7.8125	-4.19921875	8.59375
-7.51953125	8.203125	-6.54296875	7.91015625
-7.12890625	10.15625	-6.15234375	7.51953125
-9.765625	9.375	-8.59375	6.15234375
-10.25390625	7.6171875	-8.10546875	4.6875
-10.546875	8.10546875	-6.34765625	3.7109375
-14.35546875	6.15234375	-9.27734375	-3.7109375
-14.16015625	4.1015625	-11.9140625	-9.5703125
-16.50390625	1.5625	-13.18359375	-13.76953125
-19.82421875	-0.1953125	-16.015625	-18.9453125
-18.84765625	-1.3671875	-15.0390625	-20.3125
-16.9921875	-0.68359375	-13.57421875	-19.82421875
-19.62890625	-2.734375	-14.55078125	-21.484375
-17.48046875	-2.734375	-12.98828125	-20.1171875
-17.3828125	-2.5390625	-11.42578125	-17.3828125
-17.87109375	0.29296875	-9.5703125	-11.71875
-19.140625	5.859375	-6.8359375	-6.0546875
-19.140625	5.078125	-10.15625	-4.58984375
-22.36328125	4.8828125	-13.57421875	-2.44140625
-18.9453125	6.8359375	-13.37890625	-1.67E-14
-15.0390625	7.421875	-12.890625	2.5390625
-12.3046875	10.15625	-8.59375	4.58984375
-8.88671875	11.9140625	-4.98046875	6.34765625
-6.73828125	11.23046875	-1.07421875	7.2265625
-10.15625	7.421875	-3.515625	7.32421875
-13.28125	6.73828125	-7.51953125	6.640625
-15.13671875	6.25	-8.49609375	5.859375
-16.40625	6.4453125	-12.20703125	5.46875
-14.453125	4.19921875	-12.40234375	4.1015625
-11.1328125	4.1015625	-9.9609375	6.0546875
-12.890625	0.09765625	-10.3515625	5.56640625
-11.42578125	-0.29296875	-8.203125	4.8828125
-7.421875	4.296875	-7.03125	4.78515625
-9.9609375	3.7109375	-6.73828125	1.5625
-11.62109375	7.32421875	-6.8359375	0.87890625
-14.453125	7.32421875	-10.9375	-2.34375
-20.703125	6.93359375	-16.50390625	-2.5390625
-22.4609375	5.56640625	-18.84765625	-3.41796875
-22.0703125	2.9296875	-19.23828125	-6.0546875
-20.80078125	3.22265625	-16.2109375	-8.10546875
-16.40625	4.78515625	-9.66796875	-6.640625
-13.0859375	4.1015625	-5.95703125	-7.6171875
-6.0546875	6.54296875	-0.5859375	-3.7109375
-4.296875	7.71484375	2.83203125	-0.9765625
-1.3671875	6.8359375	4.1015625	0.48828125
-1.07421875	7.421875	2.9296875	1.85546875
-0.48828125	8.984375	1.85546875	4.296875
0.390625	8.59375	0.68359375	4.98046875
0.1953125	10.83984375	1.66015625	5.2734375
-3.90625	9.5703125	3.02734375	3.515625
-2.63671875	11.81640625	9.86328125	5.6640625
-6.25	9.1796875	7.91015625	3.22265625
-3.7109375	10.7421875	11.23046875	4.8828125
-1.26953125	14.35546875	8.7890625	4.00390625
-1.171875	13.76953125	5.17578125	2.24609375
-6.4453125	10.546875	-2.63671875	-1.46484375
-11.71875	10.546875	-6.4453125	-2.63671875
-14.35546875	9.5703125	-6.93359375	-2.34375
-14.453125	7.91015625	-3.41796875	-1.85546875
-13.96484375	6.8359375	-2.34375	-3.02734375
-16.50390625	1.85546875	-2.734375	-6.8359375
-18.06640625	1.953125	-3.3203125	-5.6640625
-22.0703125	-0.09765625	-8.3984375	-6.54296875
-23.92578125	1.07421875	-11.42578125	-5.76171875
-24.21875	0.68359375	-14.2578125	-4.8828125
-23.73046875	-0.68359375	-18.5546875	-5.17578125
-21.58203125	-0.9765625	-19.62890625	-4.78515625
-20.99609375	-0.9765625	-18.1640625	-5.078125
-20.80078125	1.171875	-16.40625	-6.54296875
-22.36328125	4.1015625	-16.6015625	-7.2265625
-22.8515625	3.80859375	-17.3828125	-7.03125
-21.2890625	2.9296875	-15.4296875	-6.0546875
-16.40625	1.171875	-10.3515625	-4.58984375
-14.0625	-2.9296875	-10.64453125	-4.6875
-7.6171875	0.48828125	-4.6875	-1.5625
-2.1484375	-0.68359375	-1.66015625	-2.44140625
3.90625	0.09765625	2.24609375	0.390625
6.93359375	1.85546875	6.4453125	1.66015625
9.66796875	2.63671875	8.0078125	-1.171875
12.59765625	4.296875	9.9609375	-3.90625
16.015625	9.66796875	13.96484375	-4.296875
17.7734375	9.375	16.40625	-7.71484375
19.3359375	11.23046875	18.359375	-8.30078125
21.09375	12.20703125	19.04296875	-6.93359375
22.265625	12.59765625	19.53125	-6.25
25.1953125	15.13671875	19.3359375	-5.6640625
21.2890625	10.05859375	16.796875	-6.54296875
17.96875	9.86328125	16.30859375	-5.2734375
16.11328125	7.91015625	15.4296875	-3.125
10.9375	3.22265625	15.91796875	-5.56640625
11.81640625	0.87890625	19.140625	-3.80859375
6.640625	-0.87890625	17.48046875	-6.73828125
2.24609375	-2.5390625	15.8203125	-8.30078125
1.5625	-1.26953125	13.76953125	-7.51953125
-0.1953125	-1.7578125	11.03515625	-8.69140625
-0.390625	0.29296875	7.8125	-7.12890625
-2.734375	0.9765625	5.37109375	-10.546875
-5.17578125	3.515625	2.734375	-11.23046875
-8.3984375	6.54296875	2.63671875	-13.4765625
-12.3046875	6.73828125	1.5625	-15.0390625
-14.55078125	6.54296875	-2.34375	-16.9921875
-16.6015625	5.46875	-6.8359375	-16.9921875
-15.91796875	5.46875	-9.47265625	-15.33203125
-15.0390625	2.83203125	-11.03515625	-14.2578125
-13.18359375	-1.5625	-11.81640625	-16.69921875
-12.01171875	-4.00390625	-10.64453125	-18.1640625
-11.9140625	-3.7109375	-13.0859375	-20.60546875
-14.84375	-5.078125	-15.234375	-22.265625
-15.234375	-3.02734375	-13.671875	-20.21484375
-17.67578125	-2.9296875	-13.18359375	-18.26171875
-16.69921875	-0.78125	-10.15625	-16.30859375
-13.76953125	4.78515625	-6.34765625	-11.03515625
-10.9375	8.30078125	-4.1015625	-9.765625
-8.984375	9.765625	-4.58984375	-10.9375
-5.859375	10.15625	-3.22265625	-11.23046875
-4.98046875	9.9609375	-5.17578125	-14.2578125
-3.61328125	7.8125	-4.296875	-14.55078125
-2.05078125	8.0078125	0.48828125	-13.0859375
0.09765625	8.984375	7.03125	-9.375
-0.09765625	6.25	7.421875	-8.3984375
2.05078125	3.7109375	8.30078125	-7.6171875
0.390625	-1.07421875	4.8828125	-10.546875
5.859375	-2.734375	5.76171875	-10.7421875
12.59765625	0.1953125	12.01171875	-9.375
14.55078125	1.5625	13.57421875	-8.7890625
13.76953125	3.41796875	15.0390625	-8.69140625
11.9140625	3.02734375	9.47265625	-12.20703125
14.2578125	4.58984375	8.984375	-12.98828125
17.67578125	9.47265625	12.98828125	-12.98828125
18.359375	11.62109375	13.8671875	-11.03515625
18.9453125	15.33203125	17.67578125	-6.15234375
13.4765625	15.8203125	16.69921875	-3.41796875
7.2265625	13.37890625	12.109375	-2.83203125
5.6640625	13.37890625	6.93359375	-2.734375
0.68359375	10.15625	1.7578125	-6.25
-4.6875	7.6171875	-2.5390625	-6.0546875
-3.7109375	9.375	-2.734375	-1.46484375
-3.22265625	8.88671875	-3.41796875	0.48828125
-1.7578125	8.49609375	0.5859375	2.63671875
-1.85546875	4.00390625	0.87890625	-0.390625
-2.734375	1.5625	1.85546875	-0.87890625
-1.953125	0.9765625	4.39453125	0.68359375
-2.24609375	-0.87890625	5.17578125	-2.83203125
1.5625	-0.1953125	5.37109375	-4.39453125
6.0546875	1.3671875	9.47265625	-4.39453125
9.86328125	2.24609375	12.20703125	-4.8828125
10.3515625	0.9765625	12.59765625	-3.80859375
11.23046875	0.87890625	12.890625	-3.02734375
11.62109375	2.05078125	11.9140625	-4.78515625
11.03515625	2.1484375	9.47265625	-4.1015625
12.5	3.22265625	8.10546875	-3.7109375
11.328125	4.296875	9.27734375	-2.44140625
8.10546875	-1.07421875	7.32421875	-4.00390625
2.44140625	-3.80859375	5.17578125	-4.6875
-0.9765625	-5.56640625	5.859375	-4.4921875
-4.58984375	-4.8828125	1.66015625	-5.2734375
-7.421875	-2.63671875	-1.85546875	-5.078125
-3.22265625	2.9296875	-1.67E-14	-3.125
-0.390625	6.54296875	0.09765625	-1.3671875
1.7578125	7.2265625	1.3671875	0.9765625
1.5625	9.9609375	3.02734375	4.00390625
-2.05078125	11.42578125	-0.48828125	5.46875
-1.3671875	13.96484375	-2.1484375	8.88671875
6.640625	15.91796875	2.734375	11.71875
13.28125	12.59765625	9.375	9.86328125
18.45703125	10.64453125	13.671875	8.88671875
21.09375	9.08203125	17.7734375	7.91015625
22.75390625	9.08203125	17.67578125	4.58984375
22.265625	7.51953125	17.96875	2.1484375
21.09375	5.17578125	15.13671875	-4.1015625
17.48046875	2.734375	15.52734375	-7.91015625
11.5234375	1.46484375	13.18359375	-11.03515625
9.08203125	-1.171875	8.984375	-13.96484375
4.98046875	-5.6640625	2.734375	-16.9921875
0.9765625	-8.49609375	-3.02734375	-22.0703125
-3.80859375	-9.9609375	-8.49609375	-22.4609375
-11.71875	-9.66796875	-13.28125	-23.828125
-16.6015625	-9.9609375	-15.72265625	-23.046875
-17.67578125	-9.47265625	-15.72265625	-20.21484375
-22.75390625	-14.84375	-17.7734375	-22.0703125
-20.5078125	-16.015625	-14.94140625	-18.65234375
-16.11328125	-18.06640625	-10.44921875	-19.3359375
-12.5	-21.2890625	-6.93359375	-19.3359375
-11.71875	-21.19140625	-6.34765625	-20.80078125
-11.1328125	-18.359375	-4.78515625	-20.01953125
-14.453125	-18.1640625	-4.6875	-21.58203125
-9.86328125	-10.9375	0.5859375	-18.1640625
-4.00390625	-8.49609375	5.76171875	-17.48046875
0.9765625	-5.859375	7.8125	-17.96875
2.44140625	-3.61328125	9.1796875	-16.69921875
1.3671875	-6.640625	8.59375	-17.67578125
0.48828125	-5.95703125	8.7890625	-14.2578125
-2.05078125	-9.375	9.5703125	-12.79296875
-6.4453125	-11.81640625	7.71484375	-12.98828125
-8.984375	-10.9375	7.6171875	-9.86328125
-13.8671875	-12.01171875	4.8828125	-7.91015625
-18.1640625	-11.81640625	3.125	-6.93359375
-17.7734375	-6.8359375	3.61328125	-4.00390625
-22.16796875	-6.54296875	-2.34375	-6.640625
-27.1484375	-6.0546875	-10.83984375	-9.86328125
-29.1015625	-5.76171875	-16.9921875	-10.7421875
-32.421875	-8.59375	-23.828125	-12.6953125
-34.765625	-10.546875	-24.31640625	-15.625
-33.59375	-11.1328125	-22.8515625	-18.65234375
-34.47265625	-11.81640625	-23.73046875	-21.58203125
-33.10546875	-9.765625	-26.26953125	-23.046875
-33.203125	-9.08203125	-29.1015625	-24.609375
-32.12890625	-4.6875	-29.98046875	-22.8515625
-30.95703125	-3.515625	-29.4921875	-23.4375
-29.4921875	-3.41796875	-28.125	-23.33984375
-24.31640625	-2.5390625	-26.171875	-21.38671875
-20.80078125	-1.171875	-24.31640625	-19.7265625
-17.3828125	0.29296875	-22.16796875	-17.1875
-15.72265625	-0.1953125	-22.0703125	-14.74609375
-16.11328125	0.390625	-20.41015625	-11.5234375
-19.921875	-4.1015625	-21.38671875	-13.37890625
-16.89453125	-5.859375	-15.91796875	-11.9140625
-14.35546875	-8.88671875	-10.05859375	-12.6953125
-9.86328125	-11.9140625	-5.17578125	-10.05859375
-8.10546875	-14.55078125	-3.90625	-8.203125
-2.24609375	-10.546875	-1.07421875	-1.5625
-2.34375	-10.7421875	-2.5390625	-1.67E-14
-0.68359375	-8.88671875	-1.953125	1.3671875
1.171875	-7.12890625	0.87890625	-1.67E-14
1.3671875	-4.78515625	3.3203125	-0.48828125
-0.29296875	-5.76171875	-0.68359375	-4.1015625
1.26953125	-0.9765625	-1.171875	-3.125
0.29296875	2.63671875	-4.98046875	-2.63671875
-0.68359375	5.95703125	-7.8125	-1.5625
-0.87890625	9.08203125	-8.30078125	-2.734375
-1.07421875	13.18359375	-8.49609375	-1.85546875
0.5859375	15.91796875	-8.10546875	-1.953125
1.46484375	17.48046875	-5.95703125	-1.26953125
0.29296875	18.75	-4.296875	-2.9296875
1.953125	20.21484375	0.68359375	0.48828125
3.515625	18.75	2.83203125	1.46484375
2.24609375	15.72265625	2.83203125	2.734375
5.859375	18.1640625	5.37109375	6.34765625
6.15234375	16.89453125	8.10546875	8.59375
7.03125	13.8671875	9.27734375	10.64453125
8.59375	9.86328125	11.42578125	8.7890625
9.86328125	7.12890625	13.76953125	6.54296875
10.15625	2.63671875	14.35546875	4.1015625
8.984375	-1.46484375	12.40234375	0.68359375
8.3984375	-3.61328125	10.7421875	0.09765625
8.49609375	-4.58984375	9.1796875	5.17578125
5.6640625	-6.15234375	3.90625	3.61328125
5.6640625	-3.515625	1.66015625	4.8828125
4.39453125	0.68359375	1.26953125	8.203125
-0.87890625	-0.48828125	-3.7109375	4.19921875
-2.34375	4.6875	-3.61328125	6.8359375
-5.76171875	6.8359375	-5.2734375	7.6171875
-5.95703125	9.08203125	-7.6171875	7.421875
-8.984375	11.03515625	-11.5234375	8.0078125
-11.1328125	15.0390625	-12.59765625	6.4453125
-11.71875	16.9921875	-13.0859375	5.46875
-15.234375	17.08984375	-13.0859375	1.953125
-15.4296875	16.69921875	-11.9140625	1.46484375
-13.96484375	17.3828125	-10.3515625	4.39453125
-14.2578125	14.35546875	-10.3515625	5.2734375
-14.55078125	15.33203125	-11.1328125	8.88671875
-9.765625	15.8203125	-8.30078125	11.81640625
-9.5703125	16.6015625	-8.59375	9.765625
-8.3984375	15.52734375	-4.58984375	7.03125
-9.86328125	16.30859375	-1.26953125	6.0546875
-10.44921875	13.18359375	1.26953125	4.39453125
-9.5703125	11.81640625	1.953125	3.61328125
-7.421875	7.71484375	2.1484375	-0.29296875
